Municipality,province,inhabitants,Year,Total Revenues,Taxes and Duties,Extra-Tax Revenues,External Public Funding,Loans,Custodial Revenues,Capital Transfers,Revenues from Reduction of Financial Activities,Capital Revenues
CARAFFA DI CATANZARO,CZ,1732.0,2020,6074161.0,1124706.0,324755.0,0.0,0.0,3471948.0,197573.0,0.0,955179.0
FICARAZZI,PA,12768.0,2020,,0.0,0.0,0.0,0.0,,0.0,,
MELITO DI PORTO SALVO,RC,10650.0,2020,39686358.0,13596586.0,7369214.0,7000000.0,2536145.0,4481550.0,3385801.0,0.0,1317062.0
PALOMBARO,CH,975.0,2020,2703320.0,424599.0,178687.0,87014.0,0.0,1544208.0,109722.0,0.0,359089.0
PIAZZA ARMERINA,EN,20749.0,2020,,0.0,0.0,0.0,0.0,,0.0,,
BELMONTE MEZZAGNO,PA,10905.0,2020,,0.0,0.0,0.0,0.0,,0.0,,
FERRUZZANO,RC,771.0,2020,,0.0,0.0,0.0,0.0,,0.0,,
TURSI,MT,4849.0,2020,35715874.0,4222235.0,851633.0,4000000.0,0.0,17297376.0,1048081.0,124578.0,8171971.0
FOPPOLO,BG,172.0,2020,12664003.0,1166518.0,362112.0,793647.0,2963.0,3077383.0,152522.0,0.0,7108857.0
VALLE DI MADDALONI,CE,2631.0,2020,3939359.0,1112717.0,243421.0,58731.0,0.0,356047.0,258398.0,0.0,1910045.0
PALIZZI,RC,2097.0,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LEONFORTE,EN,12583.0,2020,,0.0,0.0,0.0,0.0,,0.0,,
POGGIO NATIVO,RI,2513.0,2020,,0.0,0.0,0.0,0.0,,0.0,,
BUSCEMI,SR,978.0,2020,,0.0,0.0,0.0,0.0,,0.0,,
DRAGONI,CE,1998.0,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRUMO APPULA,BA,12298.0,2020,13773534.0,6084765.0,449022.0,0.0,0.0,1429732.0,4192264.0,0.0,1617751.0
PIETRASTORNINA,AV,1429.0,2020,,0.0,0.0,0.0,0.0,,0.0,,
